Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hbase,-0.0080385,0.021105,0.086708,0,0,0,0.21146,0.0001836,1.1259E-06,4.5959E-06,0.00016487,-4.0686E-06,0.00016525,0,0,0,0,0,0,package://holdassem/meshes/hbase.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://holdassem/meshes/hbase.STL,,hbase-1/stand-1;hbase-1/holder-1;hbase-1/holder-2,chbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
connector,0.00275,-0.00097993,-0.022656,0,0,0,0.044045,1.1484E-05,2.3397E-07,6.6588E-07,1.0882E-05,-1.188E-06,1.1654E-05,0,0,0,0,0,0,package://holdassem/meshes/connector.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://holdassem/meshes/connector.STL,,mech gripper Assem-1/connector assem-1/top-1;mech gripper Assem-1/connector assem-1/bottom-1;mech gripper Assem-1/cr pan head screw_is-17;mech gripper Assem-1/Servo Micro-1;mech gripper Assem-1/cr pan head screw_is-18;mech gripper Assem-1/cr pan head screw_is-25;mech gripper Assem-1/cr pan head screw_is-24;mech gripper Assem-1/cr pan head screw_is-27;mech gripper Assem-1/cr pan head screw_is-26,cconnector,connector,jconnector,prismatic,0.020445,0.069272,0.115,0,0,0,hbase,0.17365,-0.98481,0,0,0,0,0.04,,,,,,,,
sgear,-0.00090699,0.0018177,-0.0067816,0,0,0,0.0055987,6.5667E-07,-1.7917E-08,-3.3845E-09,7.5417E-07,1.0732E-08,1.3426E-07,0,0,0,0,0,0,package://holdassem/meshes/sgear.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/sgear.STL,,mech gripper Assem-1/sgear-1;mech gripper Assem-1/cr pan head screw_is-29;mech gripper Assem-1/cr pan head screw_is-28;mech gripper Assem-1/cr pan head screw_is-23;mech gripper Assem-1/Microservo horn-1,csgear,sgear,jsgear,revolute,0.018779,-0.014646,-0.0365,0,0,0,connector,0.17365,-0.98481,0,0,0,-0.8,0,,,,,,,,
sfinger,-0.0061362,-0.001082,-0.019217,0,0,0,0.0049563,9.4935E-07,-1.1677E-08,-2.1279E-07,1.0135E-06,-3.752E-08,1.2796E-07,0,0,0,0,0,0,package://holdassem/meshes/sfinger.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/sfinger.STL,,mech gripper Assem-1/finger-2,csfinger,sfinger,jsfinger,revolute,-0.0026832,0.0094781,-0.030734,0,0,0,sgear,0.17365,-0.98481,0,0,0,0,0.8,,,,,,,,
slink,-0.0014048,0.0058969,-0.016516,0,0,0,0.002206,2.7018E-07,8.5815E-11,-5.4876E-09,2.6971E-07,-9.6761E-10,1.427E-08,0,0,0,0,0,0,package://holdassem/meshes/slink.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/slink.STL,,mech gripper Assem-1/link-1;mech gripper Assem-1/link-3;mech gripper Assem-1/cr pan head screw_is-20,cslink,slink,jslink,revolute,0.0093974,-0.012696,-0.0565,0,0,0,connector,0.17365,-0.98481,0,0,0,-0.8,0,,,,,,,,
gear,0.0003177,0.00011857,-0.0062925,0,0,0,0.0052567,7.2033E-07,-2.563E-08,-3.8505E-08,8.6117E-07,-6.7894E-09,1.8982E-07,0,0,0,0,0,0,package://holdassem/meshes/gear.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/gear.STL,,mech gripper Assem-1/cr pan head screw_is-22;mech gripper Assem-1/gear-1,cgear,gear,gear,revolute,-0.0081555,-0.016806,-0.0365,0,0,0,connector,-0.17365,0.98481,0,0,0,-0.8,0,,,,,,,,
finger,0.0061173,0.0010787,-0.019223,0,0,0,0.0049563,9.4977E-07,-1.1603E-08,2.1198E-07,1.0135E-06,3.7378E-08,1.2753E-07,0,0,0,0,0,0,package://holdassem/meshes/finger.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/finger.STL,,mech gripper Assem-1/finger-1,cfinger,finger,jfinger,revolute,-0.0024724,0.0069259,-0.030725,0,0,0,gear,-0.17365,0.98481,0,0,0,0,0.8,,,,,,,,
link,-0.0014048,0.0058969,-0.016516,0,0,0,0.002206,2.7018E-07,8.5815E-11,-5.4876E-09,2.6971E-07,-9.6761E-10,1.427E-08,0,0,0,0,0,0,package://holdassem/meshes/link.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/link.STL,,mech gripper Assem-1/link-4;mech gripper Assem-1/cr pan head screw_is-21;mech gripper Assem-1/link-2,clink,link,jlink,revolute,-0.00045071,-0.014432,-0.0565,0,0,0,connector,0.17365,-0.98481,0,0,0,0,0.8,,,,,,,,
button1,-0.78409,-0.83398,-1.2914,0,0,0,0.0018987,1.633E-07,1.3685E-08,3.6803E-10,8.8105E-08,6.4894E-11,2.3438E-07,0,0,0,0,0,0,package://holdassem/meshes/button1.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/button1.STL,,mech gripper Assem-1/connector assem-1/button-1,cbutton1,button,jbutton1,prismatic,0.79372,0.83568,1.284,0,0,0,connector,0.98481,0.17365,0,0,0,-0.004,0,,,,,,,,
button2,-0.81402,-0.83738,-1.2914,0,0,0,0.0018987,1.633E-07,1.3685E-08,-3.6803E-10,8.8105E-08,-6.4894E-11,2.3438E-07,0,0,0,0,0,0,package://holdassem/meshes/button2.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/button2.STL,,mech gripper Assem-1/connector assem-1/button-2,cbutton2,button,jbutton2,prismatic,0.80439,0.83568,1.284,0,0,0,connector,0.98481,0.17365,0,0,0,0,0.004,,,,,,,,
mconnector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://holdassem/meshes/mconnector.STL,0.5,0.5,0.5,1,0,0,0,0,0,0,package://holdassem/meshes/mconnector.STL,,mag gripper assem-1/connector assem-1/top-1;mag gripper assem-1/connector assem-1/bottom-1;mag gripper assem-1/Servo Micro-1;mag gripper assem-1/cr pan head screw_is-5;mag gripper assem-1/cr pan head screw_is-4;mag gripper assem-1/cr pan head screw_is-1;mag gripper assem-1/cr pan head screw_is-2;mag gripper assem-1/mag holder-1;mag gripper assem-1/cr pan head screw_is-3,cmconnector,mconnector,jmconnector,prismatic,-0.046918,0.070176,0.115,0,0,0,hbase,-0.15239,-0.98832,0,0,0,0,0.04,,,,,,,,
horn,-0.0024811,0.001454,-0.0028938,0,0,0,0.0017572,3.3277E-08,-3.9132E-11,-2.2877E-08,5.8263E-08,-6.3455E-10,3.0303E-08,0,0,0,0,0,0,package://holdassem/meshes/horn.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/horn.STL,,mag gripper assem-1/Microservo horn-1,chorn,horn,jhorn,revolute,0.013671,-0.016005,-0.0365,0,0,0,mconnector,0.15239,0.98832,0,0,0,-0.8,0,,,,,,,,
rod,-0.002235,-0.0011521,-0.027471,0,0,0,4.7921E-05,1.4402E-08,-3.6172E-12,-1.0813E-09,1.4472E-08,-2.539E-11,9.865E-11,0,0,0,0,0,0,package://holdassem/meshes/rod.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://holdassem/meshes/rod.STL,,mag gripper assem-1/mlink-1,crod,rod,jrod,revolute,-0.0097633,0.0012314,-0.010608,0,0,0,horn,0.15239,0.98832,0,0,0,0,0.88,,,,,,,,
magnet,-2.299E-05,-0.00016933,-0.0038585,0,0,0,0.00040354,3.4288E-09,3.1822E-13,1.2207E-23,3.4308E-09,-1.9447E-24,4.9181E-09,0,0,0,0,0,0,package://holdassem/meshes/magnet.STL,0,0,0,1,0,0,0,0,0,0,package://holdassem/meshes/magnet.STL,,mag gripper assem-1/magnet-1,cmagnet,magnet,jmagnet,continuous,-0.0044694,-0.0023041,-0.054933,0,0,0,rod,0.15239,0.98832,0,0,0,-0.8,0,,,,,,,,
mbutton1,0.0047248,-0.00072852,0.00013509,0,0,0,0.0018987,1.6386E-07,-1.2053E-08,3.6935E-10,8.755E-08,-5.695E-11,2.3438E-07,0,0,0,0,0,0,package://holdassem/meshes/mbutton1.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/mbutton1.STL,,mag gripper assem-1/connector assem-1/button-1,cmbutton1,mbutton,jmbutton1,prismatic,0.0049416,-0.00076195,-0.0075,0,0,0,mconnector,0.98832,-0.15239,0,0,0,-0.004,0,,,,,,,,
mbutton2,-0.0047248,0.00072852,0.00013509,0,0,0,0.0018987,1.6386E-07,-1.2053E-08,-3.6935E-10,8.755E-08,5.695E-11,2.3438E-07,0,0,0,0,0,0,package://holdassem/meshes/mbutton2.STL,1,1,1,1,0,0,0,0,0,0,package://holdassem/meshes/mbutton2.STL,,mag gripper assem-1/connector assem-1/button-2,cmbutton2,mbutton,jmbutton2,prismatic,-0.0049416,0.00076195,-0.0075,0,0,0,mconnector,0.98832,-0.15239,0,0,0,0,0.004,,,,,,,,
